content_id,track,status,locale_master,title_ko,slug,category,series_id,chapter_no,source_project,interactive_component
12-houses-of-life-areas,magazine,published,ko,점성술 12하우스: 인생의 무대가 펼쳐지는 곳,12-houses-of-life-areas,Mysticism,,,blog-oiyo,
12-stages-of-life-energy-cycle,magazine,published,ko,십이운성(12 Stages): 인생 에너지의 생로병사,12-stages-of-life-energy-cycle,Mysticism,,,blog-oiyo,
2025-year-of-blue-snake-outlook,magazine,published,ko,"2025년 을사년(乙巳年) 전망: 푸른 뱀의 해, 지혜와 변혁의 서사",2025-year-of-blue-snake-outlook,Mysticism,,,blog-oiyo,
2027-year-rooster-forecast,magazine,published,ko,2027년 정유년 미리보기: 닭띠 해 운세와 12띠별 전망,2027-year-rooster-forecast,Fortune & Spirituality,,,blog-oiyo,
4-insurance-complete-guide,academy,published,ko,4대보험 완전 가이드: 국민연금·건강보험·고용보험·산재보험 요율·계산·혜택 총정리,4-insurance-complete-guide,Tax,,,blog-oiyo,
8-cognitive-functions-deep-dive,magazine,published,ko,MBTI 8기능 탐구: 4글자 뒤에 숨겨진 진짜 마음의 도구들,8-cognitive-functions-deep-dive,Psychology,,,blog-oiyo,
abilene-paradox-groupthink,magazine,published,ko,애빌린의 역설 (The Abilene Paradox),abilene-paradox-groupthink,Psychology,,,blog-oiyo,
abilene-paradox-groupthink-psychology,magazine,published,ko,애빌린 패러독스(Abilene Paradox): 원치 않는 곳으로 모두가 떠나는 이유,abilene-paradox-groupthink-psychology,Psychology,,,blog-oiyo,
academy-accounting-basics-ch1,academy,published,ko,Ch1. 회계학 개론 — 재무제표를 읽기 전에 알아야 할 기초,academy-accounting-basics-ch1,Academy,회계 기초,1,blog-oiyo,
academy-accounting-basics-ch10,academy,published,ko,Ch10. 재무비율 분석 — 숫자로 기업의 건강을 진단하는 법,academy-accounting-basics-ch10,Academy,회계 기초,10,blog-oiyo,
academy-accounting-basics-ch11,academy,live,ko,Ch11. 운전자본과 회전율 — 유동비율·당좌비율·매출채권회전율·재고회전율 읽는 법,academy-accounting-basics-ch11,Academy,회계 기초,11,blog-oiyo,
academy-accounting-basics-ch12,academy,live,ko,Ch12. 원가예산과 차이분석 — 고정예산·변동예산·예산차이·능률차이,academy-accounting-basics-ch12,Academy,회계 기초,12,blog-oiyo,
academy-accounting-basics-ch2,academy,published,ko,Ch2. 재무상태표 — 자산·부채·자본으로 기업을 읽는 법,academy-accounting-basics-ch2,Academy,회계 기초,2,blog-oiyo,
academy-accounting-basics-ch3,academy,published,ko,Ch3. 손익계산서 — 수익과 비용으로 기업 성과를 읽는 법,academy-accounting-basics-ch3,Academy,회계 기초,3,blog-oiyo,
academy-accounting-basics-ch4,academy,published,ko,Ch4. 현금흐름표 — 이익과 현금은 왜 다른가,academy-accounting-basics-ch4,Academy,회계 기초,4,blog-oiyo,
academy-accounting-basics-ch5,academy,published,ko,Ch5. 유형자산과 감가상각 — 고정자산의 취득에서 처분까지,academy-accounting-basics-ch5,Academy,회계 기초,5,blog-oiyo,
academy-accounting-basics-ch6,academy,published,ko,Ch6. 재고자산과 원가회계 — CVP 분석과 원가 계산의 기초,academy-accounting-basics-ch6,Academy,회계 기초,6,blog-oiyo,
academy-accounting-basics-ch7,academy,published,ko,Ch7. 세무회계 기초 — 법인세 신고와 세무 조정의 원리,academy-accounting-basics-ch7,Academy,회계 기초,7,blog-oiyo,
academy-accounting-basics-ch8,academy,published,ko,Ch8. 회계감사 — 재무제표는 믿을 수 있는가,academy-accounting-basics-ch8,Academy,회계 기초,8,blog-oiyo,
academy-accounting-basics-ch9,academy,published,ko,Ch9. IFRS와 한국채택국제회계기준 — 글로벌 회계 언어 이해하기,academy-accounting-basics-ch9,Academy,회계 기초,9,blog-oiyo,
academy-administrative-agent-exam-ch1,academy,published,ko,행정사 1차 집중 전략 — 민법·행정법·행정학·종합법률지식 4과목 공략,academy-administrative-agent-exam-ch1,Academy,행정사-시험,1,blog-oiyo,
academy-administrative-agent-exam-ch10,academy,published,ko,Ch10. 행정사 시험 최종 종합 — 전 과목 핵심 총정리,academy-administrative-agent-exam-ch10,Academy,행정사-시험,10,blog-oiyo,
academy-administrative-agent-exam-ch2,academy,published,ko,행정사 2차 완전 분석 — 민법 계약·행정절차·사무관리 사례형 전략,academy-administrative-agent-exam-ch2,Academy,행정사-시험,2,blog-oiyo,
academy-administrative-agent-exam-ch3,academy,published,ko,행정사 합격 후 진로 — 일반·외국어·기술 분야별 전문화와 현실 수입,academy-administrative-agent-exam-ch3,Academy,행정사-시험,3,blog-oiyo,
academy-administrative-agent-exam-ch4,academy,published,ko,"행정사 합격 후 실무 — 개업, 업무 영역, 수임 전략",academy-administrative-agent-exam-ch4,Academy,행정사-시험,4,blog-oiyo,
academy-administrative-agent-exam-ch5,academy,published,ko,행정사 D-100 최종 합격 전략 — 행정법 핵심 암기와 시험 당일 루틴,academy-administrative-agent-exam-ch5,Academy,행정사-시험,5,blog-oiyo,
academy-administrative-agent-exam-ch6,academy,published,ko,Ch6. 행정법 각론 심층 — 행정행위·행정쟁송,academy-administrative-agent-exam-ch6,Academy,행정사-시험,6,blog-oiyo,
academy-administrative-agent-exam-ch7,academy,published,ko,Ch7. 행정사법·민법 핵심 — 행정사 자격·업무범위·계약법,academy-administrative-agent-exam-ch7,Academy,행정사-시험,7,blog-oiyo,
academy-administrative-agent-exam-ch8,academy,published,ko,Ch8. 공문서 작성 실전 — 행정사 2차 서류 완성,academy-administrative-agent-exam-ch8,Academy,행정사-시험,8,blog-oiyo,
academy-administrative-agent-exam-ch9,academy,published,ko,Ch9. 행정사 기출 오답 분석 — 자주 틀리는 핵심 포인트,academy-administrative-agent-exam-ch9,Academy,행정사-시험,9,blog-oiyo,
academy-administrative-law-basics-ch1,academy,published,ko,Ch1. 행정법 총론 — 행정법의 기본 원칙과 법원,academy-administrative-law-basics-ch1,Academy,행정법 기초,1,blog-oiyo,
academy-administrative-law-basics-ch10,academy,published,ko,Ch10. 행정법 종합 정리 — 행정사·공인노무사 시험 핵심 암기,academy-administrative-law-basics-ch10,Academy,행정법 기초,10,blog-oiyo,
